business_name,pan,gstin,address,pincode,district,state,registration_date,last_activity_date,department
Quantum Finance Pvt Ltd,ARPOZ1278P,04ARPOZ1278P1ZL,"H.No. 581, Magar Ganj",070847,Kolkata,West Bengal,2013-12-19,2026-03-12,Logistics
Quantum Finance Solutions,UTOGG5529X,28UTOGG5529X7ZK,"H.No. 47, Dhingra Nagar",473103,Pune,Maharashtra,2016-06-15,2017-04-01,Retail
Quantum Finance Solutions,ZWUMG5693E,11ZWUMG5693E7ZU,"29, Amble Zila",704630,Jaipur,Rajasthan,2023-11-17,2024-11-09,Logistics
Quantum Finance Solutions,QLNFU0642S,38QLNFU0642S2ZL,"19
Madan Path",748570,Coimbatore,Tamil Nadu,2021-12-28,2023-05-08,Healthcare
Skyline Logistics Group,IFBED6821R,08IFBED6821R7ZD,"H.No. 15
Bakshi Path",222103,Pune,Maharashtra,2013-10-12,2015-05-31,Retail
Skyline Logistics Group,PFLQQ7682P,32PFLQQ7682P7ZJ,"11/64, Jha Marg",477133,Coimbatore,Tamil Nadu,2019-07-26,2026-01-29,Food & Beverage
Skyline Logistics LLP,IKDOC3974D,11IKDOC3974D7ZG,"01/871
Savant Path",708277,Mumbai,Maharashtra,2018-07-09,2026-03-28,Services
Skyline Logistics Pvt Ltd,,02JMXOX9896A5ZQ,"55
Jani Street",745277,Madurai,Tamil Nadu,2020-10-30,2026-01-22,Finance
Skyline Logistics Pvt Ltd,SKTZN2343D,30SKTZN2343D7ZN,"10/285, D’Alia Road",513436,Siliguri,West Bengal,2017-02-15,2026-01-31,Manufacturing
Titan Manufacturing Enterprises,ZPTGE7988P,37ZPTGE7988P2ZR,"271
Dutta Zila",768564,Madurai,Tamil Nadu,2012-05-06,2026-03-10,Services
Titan Manufacturing Industries,,11IFAUE5588T4ZD,"544, Wadhwa Chowk",492783,Pune,Maharashtra,2011-12-21,2026-02-02,Education
Titan Manufacturing Industries,RXEPI5960B,31RXEPI5960B3ZF,"18
Kumer Road",276427,Chennai,Tamil Nadu,2015-03-02,2026-04-02,Manufacturing
Vertex Solutions Group,QQNDU4099Q,24QQNDU4099Q1ZG,"61/416, Kant Road",502100,Coimbatore,Tamil Nadu,2014-03-01,2026-04-08,Technology
Vertex Solutions LLP,EAUNU6669V,26EAUNU6669V5ZT,"H.No. 980
Aggarwal Ganj",318247,Vadodara,Gujarat,2012-05-27,2026-03-07,Technology
Vertex Solutions LLP,ARBHP4473K,32ARBHP4473K4ZU,"08
Behl Path",738462,Siliguri,West Bengal,2012-11-30,2013-08-13,Construction
Vertex Solutions LLP,KDACL7061Q,38KDACL7061Q5ZU,"15/06, Tiwari Marg",179069,Siliguri,West Bengal,2017-08-12,2026-03-09,Education
Vertex Solutions Pvt Ltd,IGVDR1523M,30IGVDR1523M7ZN,"742
Basu Nagar",286983,New Delhi,Delhi,2021-05-02,2026-02-25,Manufacturing
Vertex Solutions Solutions,IUTDI1642L,28IUTDI1642L9ZW,"411
Shenoy Street",330127,Vadodara,Gujarat,2013-05-20,2026-02-23,Construction
Zenith Healthcare Group,JUHYB2287G,06JUHYB2287G8ZO,"06, Thakur",863570,Surat,Gujarat,2015-11-10,2018-07-28,Healthcare
Zenith Healthcare Group,,07YJQEU3166F2ZK,"H.No. 86
Mannan",936860,Jaipur,Rajasthan,2014-09-20,2026-04-21,Logistics
Zenith Healthcare Group,QTEQI2064C,05QTEQI2064C8ZQ,"86
Kade Street",474258,Warangal,Telangana,2011-06-12,2014-06-02,Construction
Zenith Healthcare LLP,LXJDU8501M,36LXJDU8501M4ZH,"15
Kannan Road",361988,Chennai,Tamil Nadu,2023-11-23,2024-03-28,Construction
