business_name,pan,gstin,address,pincode,district,state,registration_date,last_activity_date,department,business_status
Vertex Solutions Pvt Ltd,PLRWG0457Y,11PLRWG0457Y9ZE,"76/52
Shroff",178943,Bengaluru,Karnataka,27-06-2016,17-01-2026,Logistics,Active
Quantum Logistics Enterprises,PNKOG7095X,,"91/060, Trivedi Road",545722,Surat,Gujarat,03-03-2018,18-02-2026,Services,Active
Skyline Foods Solutions,LBFCA3965W,29LBFCA3965W3ZB,"77/477, Taneja Road",74438,Hyderabad,Telangana,01-02-2021,19-04-2026,Food & Beverage,Active
Zenith Healthcare Enterprises,RSAMD2606D,37RSAMD2606D3ZN,"36/887, Devan Zila",486825,Siliguri,West Bengal,18-09-2020,26-03-2026,Finance,Active
Quantum Logistics Pvt Ltd,IOKGW9610V,14IOKGW9610V5ZL,"H.No. 07, Kamdar Chowk",569301,Kolkata,West Bengal,16-10-2018,13-02-2026,Manufacturing,Active
Quantum Logistics Solutions,CCZUN6262V,23CCZUN6262V4ZD,"212
Rajagopal",205548,Kolkata,West Bengal,23-01-2022,28-08-2024,Finance,Dormant
Titan Construction Enterprises,GXBQV0319F,33GXBQV0319F9ZO,"09/69
Gopal Ganj",955292,Siliguri,West Bengal,05-08-2019,30-04-2026,Healthcare,Active
Apex Technologies Solutions,ZEQWM6722B,34ZEQWM6722B4ZC,"39, Apte Road",252153,Kolkata,West Bengal,01-01-2022,09-10-2025,Healthcare,Dormant
Zenith Healthcare Industries,TNQHC2235E,14TNQHC2235E7ZH,"H.No. 89
Biswas Street",416336,Surat,Gujarat,05-06-2013,12-09-2025,Logistics,Dormant
Titan Construction Industries,SYQFQ2369U,,"57/537, Comar Marg",2831,Madurai,Tamil Nadu,25-03-2017,21-11-2024,Services,Dormant
Quantum Logistics Enterprises,PNKOG7095X,33PNKOG7095X4ZX,"91/060, Trivedi Road",545722,Surat,Gujarat,03-03-2018,18-02-2026,Services,Active
Quantum Logistics Enterprises,IVWZD3923M,20IVWZD3923M8ZJ,"38/852
Vasa Chowk",479216,Warangal,Telangana,01-12-2022,18-12-2024,Education,Dormant
Nova Finance LLP,QUGZO0374Z,25QUGZO0374Z9ZL,"890, Shah Ganj",808959,Ahmedabad,Gujarat,19-03-2017,21-04-2026,Services,Active
Zenith Healthcare Industries,DNTEF4795J,13DNTEF4795J5ZG,"24, Rout Street",64242,Bengaluru,Karnataka,07-02-2015,06-04-2026,Food & Beverage,Active
EduSpark Learning Solutions,DZMHX0873K,24DZMHX0873K4ZZ,"62/50, Kothari",540373,Vadodara,Gujarat,08-09-2021,15-03-2026,Construction,Active
Orion Manufacturing Pvt Ltd,VCWQR1921F,20VCWQR1921F7ZR,"65, Uppal Road",379810,Chennai,Tamil Nadu,13-05-2020,24-03-2026,Healthcare,Active
Apex Tech Enterprises,SABEG0894O,30SABEG0894O7ZM,"41, Ramaswamy Marg",201777,Kolkata,West Bengal,04-02-2017,17-02-2026,Technology,Active
Orion Manufacturing Enterprises,GYLWO0989Y,37GYLWO0989Y3ZH,"07/073
Char Marg",511928,Ahmedabad,Gujarat,12-02-2019,17-04-2026,Technology,Active
Nova Finance LLP,ZQVGX9033K,37ZQVGX9033K9ZI,"H.No. 602, Sethi",699713,Nagpur,Maharashtra,11-04-2020,02-03-2021,Services,Closed
Vertex Solutions Enterprises,LBRAW5772V,37LBRAW5772V9ZK,"739, Som",5134,Surat,Gujarat,25-09-2021,22-02-2024,Retail,Dormant
Apex Technologies Enterprises,UETWH0269K,19UETWH0269K9ZO,"H.No. 515, Kurian Ganj",388405,Ahmedabad,Gujarat,05-10-2021,27-04-2026,Construction,Active
Vertex Solutions LLP,CLIDJ7448C,15CLIDJ7448C5ZZ,"82/46
Wagle Road",605350,Hubli,Karnataka,14-07-2023,28-01-2026,Healthcare,Active
EduSpark Learning Pvt Ltd,RKICR4564H,11RKICR4564H3ZE,"16/77
Ravel Road",691084,Mysuru,Karnataka,08-01-2013,07-10-2025,Healthcare,Dormant
Orion Manufacturing Industries,OYNXV1740I,,"H.No. 51, Kapur Nagar",894138,Madurai,Tamil Nadu,23-12-2012,12-02-2026,Retail,Active
Nova Finance Pvt Ltd,FKXPS8730L,19FKXPS8730L7ZY,"H.No. 54, Grover Road",336828,New Delhi,Delhi,26-05-2019,09-02-2026,Services,Active
Titan Construction Industries,QHGUK4614O,16QHGUK4614O3ZK,"44
Andra Street",93665,Vadodara,Gujarat,04-01-2017,15-08-2019,Logistics,Closed
Zenith Healthcare Pvt Ltd,RKHBU3568K,10RKHBU3568K5ZD,"H.No. 65, Garg Marg",706734,Hyderabad,Telangana,02-01-2014,11-04-2026,Services,Active
Apex Technologies Solutions,JOERN3957Q,27JOERN3957Q7ZA,"53/34, Raj Path",866245,Coimbatore,Tamil Nadu,18-07-2020,26-03-2026,Manufacturing,Active
Quantum Logistics Industries,DUTDZ1506O,21DUTDZ1506O4ZX,"55
Gandhi Street",527191,Pune,Maharashtra,25-05-2013,12-09-2016,Finance,Closed
Nova Finance Pvt Ltd,LODPG3711K,29LODPG3711K5ZB,"H.No. 241, Kala",906876,Kolkata,West Bengal,01-01-2021,02-05-2024,Logistics,Dormant
Orion Manufacturing LLP,TETMT0664P,22TETMT0664P1ZA,"H.No. 408, Saran Ganj",209524,Pune,Maharashtra,21-12-2021,28-03-2026,Logistics,Active
Vertex Solutions Industries,LLPKF5316S,25LLPKF5316S5ZQ,"H.No. 055
Dhawan Ganj",347278,Hyderabad,Telangana,08-01-2011,27-02-2026,Retail,Active
Vertex Solutions Pvt Ltd,VRDCN7122J,18VRDCN7122J1ZO,"24/869
Mannan Marg",130500,Nagpur,Maharashtra,28-03-2012,07-10-2025,Logistics,Dormant
Titan Construction Pvt Ltd,QGRHF0977D,24QGRHF0977D5ZF,"H.No. 957
Ahuja Ganj",909160,Siliguri,West Bengal,26-08-2010,02-02-2026,Logistics,Active
Orion Manufacturing Enterprises,LBVBW8654R,35LBVBW8654R1ZX,"59/52
Bhardwaj Ganj",60300,New Delhi,Delhi,02-02-2020,11-02-2024,Logistics,Closed
Quantum Logistics Solutions,OLBJY9036V,13OLBJY9036V9ZL,"67/65
Dass Marg",74713,New Delhi,Delhi,12-02-2019,20-10-2020,Retail,Closed
Titan Construction LLP,YLVVZ0607O,26YLVVZ0607O3ZQ,"H.No. 72, Bahri Road",913041,New Delhi,Delhi,01-03-2018,08-04-2026,Logistics,Active
Titan Construction Solutions,CJAGZ9671F,15CJAGZ9671F3ZS,"97/320
Sathe Chowk",791110,Mysuru,Karnataka,04-11-2020,21-11-2021,Construction,Closed
EduSpark Learning Pvt Ltd,SBYCU3074M,36SBYCU3074M1ZV,"14/74
Chhabra Ganj",591145,Kolkata,West Bengal,18-08-2020,16-04-2026,Education,Active
Apex Technologies Pvt Ltd,QGSID3518J,19QGSID3518J9ZO,"H.No. 51, Sahota Ganj",443265,Hyderabad,Telangana,18-05-2023,20-03-2026,Healthcare,Active
EduSpark Learning Pvt Ltd,XTPAF6850Y,31XTPAF6850Y1ZI,"H.No. 46
Tella",834261,Ahmedabad,Gujarat,06-12-2013,20-02-2026,Manufacturing,Active
Skyline Foods Enterprises,NBWEE7861X,26NBWEE7861X1ZA,"H.No. 402, Buch Path",284923,Kolkata,West Bengal,11-04-2010,15-03-2026,Healthcare,Active
Nova Finance Solutions,XBDDE3739J,37XBDDE3739J5ZC,"140, Balakrishnan Circle",121773,Bengaluru,Karnataka,28-05-2014,01-05-2024,Manufacturing,Dormant
EduSpark Learning Industries,AGDKC0435O,26AGDKC0435O1ZH,"H.No. 304
Din Path",907101,Hyderabad,Telangana,11-09-2021,21-02-2026,Technology,Active
EduSpark Learning Industries,SZOUT9445A,25SZOUT9445A5ZD,"73
Samra Circle",854685,Madurai,Tamil Nadu,08-07-2011,03-02-2026,Retail,Active
BlueNova Retail LLP,VTZMS4324E,18VTZMS4324E2ZG,"H.No. 94
Deshmukh Path",925741,Vadodara,Gujarat,21-09-2010,13-09-2024,Technology,Dormant
Apex Technologies LLP,MCMPN9991S,23MCMPN9991S9ZL,"H.No. 278, Sahota Path",479960,Madurai,Tamil Nadu,16-11-2013,03-09-2025,Finance,Dormant
Titan Construction Industries,PPPJV6872T,28PPPJV6872T3ZC,"46/42
Ahuja Marg",258690,Siliguri,West Bengal,09-01-2017,05-04-2026,Logistics,Active
BlueNova Retail LLP,OKDQA7243L,19OKDQA7243L6ZX,"70/295, Saraf Chowk",639379,Chennai,Tamil Nadu,24-09-2022,21-01-2026,Healthcare,Active
Titan Construction Industries,COBON5135D,31COBON5135D8ZG,"24/25, Wali Street",956330,New Delhi,Delhi,15-01-2012,11-05-2015,Construction,Closed
Orion Manufacturing LLP,DTXUU6667U,25DTXUU6667U5ZJ,"01
Bahl Street",531211,Madurai,Tamil Nadu,22-05-2019,09-02-2026,Services,Active
Orion Manufacturing Enterprises,GYLWO0989Y,37GYLWO0989Y3ZH,"H.No. 84, Khatri Marg",511928,Ahmedabad,Gujarat,12-02-2019,17-04-2026,Technology,Active
Nova Finance Pvt Ltd,TWLLA2277S,13TWLLA2277S9ZZ,"684, Basu Zila",65909,Siliguri,West Bengal,12-03-2014,19-04-2026,Manufacturing,Active
EduSpark Learning Pvt Ltd,LGTXC5520X,35LGTXC5520X9ZA,"91/523, Raja Nagar",218070,Madurai,Tamil Nadu,23-08-2012,27-03-2026,Logistics,Active
Titan Construction Enterprises,FGXIV5160H,35FGXIV5160H1ZQ,"76/590, Issac Road",124749,Bengaluru,Karnataka,29-12-2018,16-03-2026,Manufacturing,Active
Vertex Solutions Solutions,SEGRP8177R,16SEGRP8177R4ZP,"172
Basak Nagar",377247,Surat,Gujarat,20-06-2017,18-01-2026,Retail,Active
Quantum Logistics LLP,EXVAF9205D,21EXVAF9205D1ZW,"H.No. 75
Malhotra Road",618899,Coimbatore,Tamil Nadu,01-06-2018,01-09-2020,Services,Closed
Titan Construction Industries,GZJAY8671J,36GZJAY8671J3ZP,"H.No. 386
Deshmukh Path",880616,Pune,Maharashtra,09-07-2020,14-05-2026,Technology,Active
Nova Finance Solutions,MQSCV6399Q,11MQSCV6399Q4ZH,"09/92, Magar Ganj",903373,Surat,Gujarat,18-09-2022,09-05-2026,Manufacturing,Active
Skyline Foods Pvt Ltd,GGBGC0379N,25GGBGC0379N6ZM,"H.No. 08
Chauhan Nagar",363294,Warangal,Telangana,01-04-2022,28-01-2026,Services,Active
Quantum Logistics LLP,RVTRN6433F,16RVTRN6433F8ZK,"84
Krishnan Road",577667,New Delhi,Delhi,22-04-2014,27-04-2026,Manufacturing,Active
Nova Finance Solutions,QVRBS7800N,13QVRBS7800N1ZO,"H.No. 735, Sahni Marg",940886,New Delhi,Delhi,08-12-2016,13-01-2024,Finance,Dormant
Skyline Foods LLP,SSKGI2463L,26SSKGI2463L8ZP,"18/52, Rau Road",40730,Kolkata,West Bengal,18-03-2012,24-07-2024,Logistics,Dormant
BlueNova Retail Industries,AFDVV9255M,31AFDVV9255M6ZR,"80/080, Atwal Nagar",85220,New Delhi,Delhi,11-08-2018,26-06-2025,Finance,Dormant
Quantum Logistics LLP,RQMYJ3165J,,"29/43
Kala Path",485315,Hyderabad,Telangana,20-10-2015,23-04-2024,Healthcare,Dormant
Vertex Solutions Pvt Ltd,NGQGJ7094H,32NGQGJ7094H5ZH,"H.No. 96
Vala Circle",193095,Hyderabad,Telangana,23-10-2011,21-01-2024,Finance,Dormant
Titan Construction Solutons,NSHVJ6957X,37NSHVJ6957X1ZW,"H.No. 854
Raju Marg",565352,New Delhi,Delhi,22-05-2023,20-02-2026,Services,Active
BlueNova Retail LLP,PKBBS8518E,20PKBBS8518E6ZT,"78, Dey Zila",784110,New Delhi,Delhi,24-08-2013,25-02-2026,Manufacturing,Active
Nova Finance LLP,BRQCU8619Z,11BRQCU8619Z9ZL,"14/434, Lala Circle",956516,Siliguri,West Bengal,11-08-2019,07-09-2025,Logistics,Dormant
Zenith Healthcare LLP,GKAUT0966A,17GKAUT0966A5ZI,"081, Bhakta Zila",336015,Hyderabad,Telangana,05-03-2016,27-03-2026,Construction,Active
Quantum Logistics Pvt Ltd,OHHES7132G,35OHHES7132G4ZE,"H.No. 86
Vyas Path",216865,Warangal,Telangana,30-01-2021,05-03-2026,Construction,Active
Skyline Foods LLP,TJDOE8995C,36TJDOE8995C1ZV,"09, Yogi Street",941326,Siliguri,West Bengal,22-02-2010,27-01-2026,Finance,Active
Skyline Foods Solutions,GOYRC8773J,23GOYRC8773J8ZF,"H.No. 581
Shetty Ganj",121907,Vadodara,Gujarat,27-01-2010,15-05-2012,Healthcare,Closed
Nova Finance Pvt Ltd,MXBCP0265K,22MXBCP0265K9ZT,"83, Sha Marg",894669,Surat,Gujarat,12-08-2016,26-02-2026,Finance,Active
Orion Manufacturing Industries,OYNXV1740I,37OYNXV1740I3ZU,"H.No. 51, Kapur Nagar",894138,Madurai,Tamil Nadu,23-12-2012,12-02-2026,Retail,Active
EduSpark Learning Industries,USXAS9551Z,38USXAS9551Z9ZP,"H.No. 315, Bora Road",969505,Bengaluru,Karnataka,06-12-2016,10-05-2026,Retail,Active
BlueNova Retail Enterprises,BLGVO1606Z,27BLGVO1606Z4ZN,"19/945, Shankar Street",947645,Surat,Gujarat,02-06-2022,26-03-2026,Education,Active
Skyline Foods Enterprises,TTLYO6686E,24TTLYO6686E8ZC,"H.No. 088
Bal Road",566904,Hubli,Karnataka,02-12-2019,08-02-2025,Logistics,Dormant
Nova Finance LLP,CLOCM3970M,23CLOCM3970M9ZB,"H.No. 373
Mandal Marg",302379,New Delhi,Delhi,26-04-2022,03-05-2026,Services,Active
Titan Construction LLP,PPEQX3908C,11PPEQX3908C5ZU,"72/813
Hari",801785,New Delhi,Delhi,23-09-2014,16-09-2024,Technology,Dormant
Apex Technologies Solutions,NSPRJ6902M,21NSPRJ6902M7ZV,"258, Venkatesh Street",120873,Chennai,Tamil Nadu,04-02-2019,09-03-2026,Finance,Active
Orion Manufacturing Solutons,NSBED7716G,13NSBED7716G4ZM,"31
Jayaraman Road",519173,Coimbatore,Tamil Nadu,02-04-2020,05-05-2025,Finance,Dormant
Orion Manufacturing Enterprises,GMPJA8127K,18GMPJA8127K5ZT,"78, Chand Marg",349804,Hyderabad,Telangana,20-06-2022,20-04-2026,Education,Active
Apex Technologies Solutions,CEPRG1825T,12CEPRG1825T9ZN,"H.No. 78, Ahluwalia Circle",711650,New Delhi,Delhi,04-02-2017,23-01-2019,Logistics,Closed
BlueNova Retail LLP,VYCGO4567M,24VYCGO4567M5ZO,"34/52, Devan Nagar",82498,Kolkata,West Bengal,15-03-2023,25-09-2025,Technology,Closed
Apex Technologies Solutions,DDROF6716X,32DDROF6716X3ZD,"95, Korpal Marg",332986,Bengaluru,Karnataka,23-12-2016,11-05-2026,Services,Active
Zenith Healthcare Solutions,NWWHU4958J,33NWWHU4958J8ZJ,"81, Baral Circle",890486,Mysuru,Karnataka,02-05-2013,14-03-2026,Food & Beverage,Active
Apex Technologies LLP,NJQRQ4405A,10NJQRQ4405A5ZQ,"H.No. 034
Bora",636996,Kolkata,West Bengal,06-01-2022,07-12-2022,Education,Closed
Zenith Healthcare Enterprises,PTLXO7331W,10PTLXO7331W2ZY,"36/408, Handa Chowk",697425,Mumbai,Maharashtra,15-07-2019,01-02-2026,Food & Beverage,Active
Orion Manufacturing Pvt Ltd,VCWQR1921F,20VCWQR1921F7ZR,"65, Uppal Road",379810,Chennai,Tamil Nadu,13-05-2020,24-03-2026,Healthcare,Active
Apex Technologies LLP,NOZMJ9455V,34NOZMJ9455V5ZX,"82/34
Raj Marg",370665,Warangal,Telangana,07-09-2023,13-04-2026,Manufacturing,Active
Quantum Logistics LLP,RQMYJ3165J,13RQMYJ3165J3ZP,"29/43
Kala Path",485315,Hyderabad,Telangana,20-10-2015,23-04-2024,Healthcare,Dormant
Vertex Solutions LLP,UJJOP6937S,14UJJOP6937S6ZQ,"H.No. 981
Bhatti",838035,Mumbai,Maharashtra,05-12-2018,09-04-2026,Finance,Active
Quantum Logistics Pvt Ltd,RMQYI6664W,19RMQYI6664W7ZU,"47/424
Sathe Road",427568,New Delhi,Delhi,13-08-2012,10-05-2026,Construction,Active
Zenith Healthcare Solutons,DLRTY4714D,36DLRTY4714D7ZP,"41
Dave Marg",660469,Mumbai,Maharashtra,10-04-2016,28-03-2026,Construction,Active
Skyline Foods LLP,FOYSD6526Q,17FOYSD6526Q4ZU,"85/23
Sarraf Circle",552817,Siliguri,West Bengal,07-03-2011,02-04-2026,Finance,Active
Apex Technologies Industries,ARWSC5240E,32ARWSC5240E2ZI,"H.No. 458
Grover Nagar",58002,Madurai,Tamil Nadu,26-12-2010,20-09-2014,Logistics,Closed
Vertex Solutions Pvt Ltd,RUZWW3481L,,"H.No. 779, Ramachandran Road",622257,New Delhi,Delhi,08-08-2011,25-05-2025,Retail,Dormant
Quantum Logistics Pvt Ltd,ITQUT3058F,36ITQUT3058F8ZY,"H.No. 97
Deo",289824,Kolkata,West Bengal,25-09-2020,01-07-2025,Construction,Dormant
Orion Manufacturing Solutions,AKFVC9619J,26AKFVC9619J5ZW,"86, Lata Circle",500630,Kolkata,West Bengal,27-04-2019,21-07-2024,Food & Beverage,Dormant
Orion Manufacturing Industries,MBLKM0226T,29MBLKM0226T8ZG,"H.No. 59
Kade Zila",20569,Mysuru,Karnataka,26-05-2012,14-05-2026,Logistics,Active
Apex Technologies Solutions,MIPUI1880E,28MIPUI1880E3ZW,"277, Dayal Zila",716542,New Delhi,Delhi,27-06-2012,08-11-2024,Logistics,Dormant
Nova Finance Industries,ZMMYN8706F,27ZMMYN8706F6ZJ,"H.No. 34, Barad Marg",644714,Siliguri,West Bengal,20-04-2012,19-02-2026,Construction,Active
Nova Finance Industries,RYCPX0916Z,14RYCPX0916Z6ZC,"06, Dhingra Nagar",389102,Bengaluru,Karnataka,30-09-2012,16-03-2026,Services,Active
Zenith Healthcare Industries,LAIRK1416A,22LAIRK1416A1ZS,"79, Sandhu Nagar",575242,Mysuru,Karnataka,19-11-2011,01-07-2025,Healthcare,Dormant
Nova Finance Pvt Ltd,TWLLA2277S,,"684, Basu Zila",65909,Siliguri,West Bengal,12-03-2014,19-04-2026,Manufacturing,Active
Titan Construction Enterprises,DWWAF8824L,32DWWAF8824L5ZG,"H.No. 858, Srinivasan Chowk",536153,Madurai,Tamil Nadu,06-04-2018,17-06-2024,Finance,Dormant
Titan Construction Solutions,NCCOP7804Y,12NCCOP7804Y9ZX,"27/207
Kade Ganj",255478,Surat,Gujarat,12-06-2015,23-04-2026,Healthcare,Active
Titan Construction Industries,WKACJ0027J,31WKACJ0027J3ZI,"52/05, Arya Marg",749833,New Delhi,Delhi,24-05-2011,18-01-2025,Food & Beverage,Dormant
Zenith Healthcare Pvt Ltd,XYKHS7446R,29XYKHS7446R5ZE,"26/59
Barman Chowk",266771,Pune,Maharashtra,16-11-2011,10-03-2026,Healthcare,Active
Apex Technologies Industries,GDCTO5002T,10GDCTO5002T4ZR,"63
Grewal Path",677547,Kolkata,West Bengal,23-03-2022,18-03-2026,Technology,Active
Vertex Solutions Pvt Ltd,RUZWW3481L,16RUZWW3481L5ZV,"H.No. 779, Ramachandran Road",622257,New Delhi,Delhi,08-08-2011,25-05-2025,Retail,Dormant
Zenith Healthcare Pvt Ltd,UXIIK8406J,21UXIIK8406J1ZY,"31/75, Shetty Circle",486324,Pune,Maharashtra,12-06-2017,01-02-2026,Education,Active
BlueNova Retail LLP,NOUEC8629E,17NOUEC8629E5ZO,"95/954
Venkataraman Nagar",698864,Coimbatore,Tamil Nadu,22-04-2020,13-05-2026,Construction,Active
Orion Manufacturing Industries,PFDDT6454R,35PFDDT6454R4ZV,"99, Ahluwalia",127737,Kolkata,West Bengal,21-07-2015,16-03-2024,Finance,Dormant
Nova Finance Industries,VDTWM3351T,12VDTWM3351T3ZI,"H.No. 45
Doshi Road",449364,Hyderabad,Telangana,30-01-2022,10-02-2026,Finance,Active
BlueNova Retail Enterprises,BVHIY0137R,38BVHIY0137R6ZC,"09/43
Randhawa Circle",159390,Kolkata,West Bengal,29-04-2023,07-11-2026,Education,Closed
Skyline Foods Enterprises,QUCSB9145Z,28QUCSB9145Z8ZV,"H.No. 96
Gade Marg",109187,Warangal,Telangana,24-01-2014,14-11-2024,Healthcare,Dormant
Nova Finance Pvt Ltd,LODPG3711K,,"H.No. 241, Kala",906876,Kolkata,West Bengal,01-01-2021,02-05-2024,Logistics,Dormant
Vertex Solutions Industries,ELGET7571U,38ELGET7571U7ZM,"404
Ganesh",846999,Chennai,Tamil Nadu,23-07-2021,24-03-2026,Healthcare,Active
Zenith Healthcare LLP,GCGOE4640J,32GCGOE4640J8ZJ,"53/75
Ravi Zila",383680,New Delhi,Delhi,07-08-2011,19-02-2025,Services,Dormant
Vertex Solutions Industries,LLPKF5316S,25LLPKF5316S5ZQ,"84, Batra Path",347278,Hyderabad,Telangana,08-01-2011,27-02-2026,Retail,Active
Apex Technologies Enterprises,SABEG0894O,30SABEG0894O7ZM,"41, Ramaswamy Marg",201777,Kolkata,West Bengal,04-02-2017,17-02-2026,Technology,Active
BlueNova Retail Pvt Ltd,EYNUS1172D,34EYNUS1172D6ZA,"51/503
Tak Zila",574676,Nagpur,Maharashtra,19-08-2019,06-05-2026,Services,Active
Apex Technologies Enterprises,GULKY9571J,16GULKY9571J9ZB,"310, Rege Street",216643,Mysuru,Karnataka,15-05-2011,19-09-2025,Construction,Dormant
Skyline Foods LLP,FOYSD6526Q,,"85/23
Sarraf Circle",552817,Siliguri,West Bengal,07-03-2011,02-04-2026,Finance,Active
Vertex Solutions LLP,LPGNO6932R,,"37/854
Jaggi Zila",733287,Surat,Gujarat,04-01-2014,04-03-2026,Manufacturing,Active
Nova Finance Industries,FITJT8200R,11FITJT8200R4ZL,"88/072, Zacharia Ganj",244852,Pune,Maharashtra,17-07-2011,19-01-2024,Technology,Dormant
Titan Construction Pvt Ltd,QGRHF0977D,24QGRHF0977D5ZF,"H.No. 566, Chatterjee Ganj",909160,Siliguri,West Bengal,26-08-2010,02-02-2026,Logistics,Active
BlueNova Retail LLP,TOTLP3914Y,11TOTLP3914Y3ZD,"71/61
Suri Path",321732,Mysuru,Karnataka,03-08-2013,10-09-2024,Education,Dormant
Nova Finance Pvt Ltd,LPPNY8409W,38LPPNY8409W9ZZ,"99
Dhingra",228637,Siliguri,West Bengal,27-04-2023,21-08-2025,Retail,Dormant
Zenith Healthcare Enterprises,QMUCF6354Q,21QMUCF6354Q9ZN,"841, Sant Ganj",192652,Vadodara,Gujarat,02-06-2017,17-03-2026,Manufacturing,Active
Vertex Solutions Solutions,CDVBO4922K,35CDVBO4922K6ZM,"H.No. 764
Sangha Marg",754356,Vadodara,Gujarat,18-02-2017,15-04-2026,Retail,Active
Nova Finance Pvt Ltd,CTBWR1346X,12CTBWR1346X6ZL,"832, Ramaswamy Path",634648,Warangal,Telangana,07-02-2014,24-03-2026,Manufacturing,Active
Vertex Solutions Solutions,SJLUG6267J,34SJLUG6267J1ZW,"76
Tiwari",397197,Mumbai,Maharashtra,07-10-2016,26-02-2026,Education,Active
BlueNova Retail Industries,HDMLD5256L,12HDMLD5256L1ZM,"10/20, Kade",81483,Chennai,Tamil Nadu,14-10-2019,17-01-2026,Logistics,Active
Skyline Foods Enterprises,AYFRD6192U,21AYFRD6192U2ZI,"46/846
Sani Zila",320340,Mumbai,Maharashtra,05-05-2018,22-01-2024,Education,Dormant
Titan Construction Enterprises,KDJEQ6695P,19KDJEQ6695P3ZE,"H.No. 88
Sankaran",949835,Kolkata,West Bengal,21-01-2017,21-02-2024,Logistics,Dormant
Vertex Solutions LLP,UJJOP6937S,14UJJOP6937S6ZQ,"68/151, Borah Circle",838035,Mumbai,Maharashtra,05-12-2018,09-04-2026,Finance,Active
Skyline Foods Pvt Ltd,QROFQ3576W,31QROFQ3576W7ZB,"59
Sandhu Nagar",765353,Pune,Maharashtra,10-09-2018,03-02-2026,Logistics,Active
Titan Construction Solutions,VWAIT1318Y,29VWAIT1318Y3ZZ,"H.No. 713, Comar Ganj",455313,Hyderabad,Telangana,26-10-2019,29-03-2026,Retail,Active
BlueNova Retail Solutions,BNKNC2233G,34BNKNC2233G9ZT,"61/446
Bhandari",651392,New Delhi,Delhi,26-08-2020,10-07-2021,Logistics,Closed
Zenith Healthcare Industries,UBQNF7396E,17UBQNF7396E3ZD,"01/78, Kothari Circle",159281,Siliguri,West Bengal,28-09-2015,26-02-2026,Finance,Active
Skyline Foods Pvt Ltd,NLSKR1493W,22NLSKR1493W2ZU,"H.No. 86, Shan Ganj",983456,Chennai,Tamil Nadu,15-05-2017,07-03-2021,Logistics,Closed
Vertex Solutions Enterprises,DOPZC1778L,38DOPZC1778L5ZN,"662
Mangal Ganj",635525,New Delhi,Delhi,04-08-2018,10-04-2024,Technology,Dormant
EduSpark Learning Pvt Ltd,IIZTL6437R,32IIZTL6437R6ZT,"H.No. 94, Bhatt Nagar",569203,Siliguri,West Bengal,03-01-2015,21-05-2025,Manufacturing,Dormant
Titan Construction Pvt Ltd,ROKEJ7672R,14ROKEJ7672R8ZJ,"H.No. 96, Sahni Ganj",606870,Warangal,Telangana,14-11-2020,23-02-2026,Retail,Active
BlueNova Retail Solutions,BZRKT9402Q,33BZRKT9402Q9ZQ,"96/85
Varty Road",279349,Siliguri,West Bengal,08-01-2023,04-04-2025,Education,Dormant
Orion Manufacturing Pvt Ltd,VMJPG1225Z,33VMJPG1225Z4ZB,"584, Basak Nagar",302320,Bengaluru,Karnataka,30-11-2022,15-10-2024,Healthcare,Dormant
Titan Construction LLP,XDDMN5374X,38XDDMN5374X7ZQ,"H.No. 23
Lad Street",17883,Ahmedabad,Gujarat,16-04-2022,24-04-2026,Construction,Active
